Type;MP;Beta
hat;0.05;7,88929328571542e-01
hat;0.05;4,93811216619199e-01
hat;0.05;9,12101526674531e-01
hat;0.05;7,50801040701564e-01
hat;0.05;1,05476660037041e+00
hat;0.05;8,54700652864307e-01
hat;0.05;9,88676857203643e-01
hat;0.05;7,11915868172769e-01
hat;0.05;6,17282994317751e-01
hat;0.05;1,00066653567495e+00
hat;0.05;6,09274695086321e-01
hat;0.05;4,56379208547097e-01
hat;0.05;1,07497144207776e+00
hat;0.05;5,75838726432667e-01
hat;0.05;9,19082352117678e-01
hat;0.05;5,19379882584611e-01
hat;0.05;3,24715179437095e-01
hat;0.05;7,26100259234074e-01
hat;0.05;8,89074013263005e-01
hat;0.05;8,69772760754637e-01
hat;0.05;9,16081238133119e-01
hat;0.05;6,66143816961313e-01
hat;0.05;1,06580364763407e+00
hat;0.05;8,03902571237200e-01
hat;0.05;1,00165793815723e+00
hat;0.05;1,33722508696091e+00
hat;0.05;6,57083977406573e-01
hat;0.05;8,15814952157483e-01
hat;0.05;5,95359687436720e-01
hat;0.05;1,10415524036485e+00
hat;0.05;4,85102588184516e-01
hat;0.05;8,83904146607770e-01
hat;0.05;6,31049462758428e-01
hat;0.05;1,09801974630334e+00
hat;0.05;9,10580548923541e-01
hat;0.05;8,51034090550114e-01
hat;0.05;9,81176996690440e-01
hat;0.05;1,34285873563768e+00
hat;0.05;7,94684902740900e-01
hat;0.05;4,91093116452675e-01
hat;0.05;1,18908899311984e+00
hat;0.05;5,09284953104003e-01
hat;0.05;7,39971405287804e-01
hat;0.05;4,31953931260369e-01
hat;0.05;1,09986750143028e+00
hat;0.05;1,20473586049754e+00
hat;0.05;7,45534811168423e-01
hat;0.05;6,91503509713324e-01
hat;0.05;8,35989257223108e-01
hat;0.05;1,04628578365202e+00
hat;0.05;8,52940027779381e-01
hat;0.05;7,30417027700318e-01
hat;0.05;1,05167836434525e+00
hat;0.05;8,82200369424106e-01
hat;0.05;9,75689897652410e-01
hat;0.05;8,36334682241822e-01
hat;0.05;6,68865590462005e-01
hat;0.05;6,22192033796253e-01
hat;0.05;6,91538162272543e-01
hat;0.05;6,80110249600952e-01
hat;0.05;1,22221258193533e+00
hat;0.05;1,00079566102958e+00
hat;0.05;8,64634551664250e-01
hat;0.05;9,42844367213930e-01
hat;0.05;1,33476168978829e+00
hat;0.05;5,60289019797612e-01
hat;0.05;9,44929023452989e-01
hat;0.05;8,65229722104500e-01
hat;0.05;9,79429227690842e-01
hat;0.05;1,02809995335356e+00
hat;0.05;7,80599767783898e-01
hat;0.05;1,16891132825648e+00
hat;0.05;8,94137765841150e-01
hat;0.05;5,79987072363749e-01
hat;0.05;7,31351931848786e-01
hat;0.05;8,44600304266550e-01
hat;0.05;7,13302827134606e-01
hat;0.05;1,05125029914693e+00
hat;0.05;8,26020935585825e-01
hat;0.05;1,02137631876041e+00
hat;0.05;1,09449064114885e+00
hat;0.05;5,09982572196965e-01
hat;0.05;9,92147691424463e-01
hat;0.05;3,82686379672660e-01
hat;0.05;1,30001656045613e+00
hat;0.05;9,49082316999953e-01
hat;0.05;1,15709766734298e+00
hat;0.05;8,69102909641715e-01
hat;0.05;1,23297250498979e+00
hat;0.05;1,06903185085478e+00
hat;0.05;6,50732822126737e-01
hat;0.05;9,88767916913080e-01
hat;0.05;4,79007300176918e-01
hat;0.05;1,04881606543310e+00
hat;0.05;5,18361215879856e-01
hat;0.05;8,78495767838130e-01
hat;0.05;8,38237013636132e-01
hat;0.05;9,78855351838384e-01
hat;0.05;3,57276773739159e-01
hat;0.05;1,26194891943485e+00
hat;0.05;9,21278489597698e-01
hat;0.05;8,90417473696013e-01
hat;0.05;8,76736109876621e-01
hat;0.05;1,12419005641457e+00
hat;0.05;5,46166333362584e-01
hat;0.05;8,79467413409652e-01
hat;0.05;1,75262018057694e-01
hat;0.05;6,08103957552282e-01
hat;0.05;9,54502586321575e-01
hat;0.05;7,24650249244393e-01
hat;0.05;9,29939828697384e-01
hat;0.05;6,71678075681115e-01
hat;0.05;8,95350628231633e-01
hat;0.05;9,04721299003165e-01
hat;0.05;1,03834327223505e+00
hat;0.05;8,41261705562437e-01
hat;0.05;9,68118803674889e-01
hat;0.05;7,47648957210794e-01
hat;0.05;1,16125095204734e+00
